INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목001', '방명록내용001', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목002', '방명록내용002', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목003', '방명록내용003', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목004', '방명록내용004', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목005', '방명록내용005', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목006', '방명록내용006', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목007', '방명록내용007', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목008', '방명록내용008', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목009', '방명록내용009', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목010', '방명록내용010', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목011', '방명록내용011', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목012', '방명록내용012', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목013', '방명록내용013', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목014', '방명록내용014', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목015', '방명록내용015', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목016', '방명록내용016', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목017', '방명록내용017', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목018', '방명록내용018', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목019', '방명록내용019', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목020', '방명록내용020', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목021', '방명록내용021', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목022', '방명록내용022', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목023', '방명록내용023', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목024', '방명록내용024', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목025', '방명록내용025', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목026', '방명록내용026', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목027', '방명록내용027', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목028', '방명록내용028', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목029', '방명록내용029', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목030', '방명록내용030', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목031', '방명록내용031', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목032', '방명록내용032', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목033', '방명록내용033', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목034', '방명록내용034', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목035', '방명록내용035', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목036', '방명록내용036', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목037', '방명록내용037', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목038', '방명록내용038', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목039', '방명록내용039', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목040', '방명록내용040', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목041', '방명록내용041', now(), 0);
INSERT INTO shotel_board(userid, type, title, content, writedate, readcount) VALUES (1, 3, '방명록제목042', '방명록내용042', now(), 0);
